stations_id,von_datum,bis_datum,geobreite,geolaenge,kreis_code,res,var,per,dist,kreis_code_in,state
3086,1985-03-01,2024-05-12,53.8025,10.6989,Luebeck-Blankensee,daily,kl,historical,8.007237625496446,1003,Lübeck
5078,1940-01-01,2024-05-12,53.9619,10.8892,Travemuende,daily,kl,historical,14.520478182645553,1003,Lübeck
3897,1998-01-01,2024-05-12,54.0893,10.8773,Pelzerhaken,daily,kl,historical,26.01957630151159,1003,Lübeck
5280,1981-04-01,2024-05-12,53.9224,10.2267,Wittenborn,daily,kl,historical,33.28427923234684,1003,Lübeck
1736,1951-01-01,2024-05-12,53.5731,10.6797,Grambek,daily,kl,historical,33.43965732995647,1003,Lübeck
596,1947-01-01,2024-05-12,54.0027,11.1908,Boltenhagen,daily,kl,historical,33.59933499851193,1003,Lübeck
6163,1999-10-04,2024-05-12,54.1654,10.3519,Doernick,daily,kl,historical,40.782157938913024,1003,Lübeck
2578,1865-01-01,2024-05-12,53.9995,11.4341,Kirchdorf/Poel,daily,kl,historical,48.355296681303386,1003,Lübeck
5877,1997-03-10,2024-05-12,54.316,10.8002,Putlos,daily,kl,historical,49.542603837316534,1003,Lübeck
2306,1977-11-01,2024-05-12,54.3194,10.6732,Hohwacht,daily,kl,historical,49.820338424660754,1003,Lübeck
4625,1890-01-01,2024-05-12,53.6424,11.3871,Schwerin,daily,kl,historical,50.3412124493849,1003,Lübeck
591,1947-01-01,2024-05-12,53.3911,10.6878,Boizenburg,daily,kl,historical,53.592601059734065,1003,Lübeck
7427,2007-09-01,2024-05-12,54.0188,9.9255,Padenstedt (Pony-Park),daily,kl,historical,54.95522601365436,1003,Lübeck
1975,1936-01-01,2024-05-12,53.6332,9.9881,Hamburg-Fuhlsbuettel,daily,kl,historical,55.42334305654213,1003,Lübeck
4039,1974-12-01,2024-05-12,53.7331,9.8776,Quickborn,daily,kl,historical,57.92908371598927,1003,Lübeck
19171,2020-09-01,2024-05-12,54.0039,9.8555,Hasenkrug-Hardebek,daily,kl,historical,58.9236448407087,1003,Lübeck
2564,1974-01-01,2024-05-12,54.3776,10.1424,Kiel-Holtenau,daily,kl,historical,67.88654903451423,1003,Lübeck
6101,1999-12-16,2024-05-12,54.1323,11.6719,Bastorf-Kaegsdorf (SWN),daily,kl,historical,68.1413301526837,1003,Lübeck
1981,1962-05-01,2024-05-12,53.4776,9.8957,Hamburg-Neuwiedenthal,daily,kl,historical,70.21739260025537,1003,Lübeck
6093,1998-02-01,2024-05-12,53.2139,10.4704,Wendisch Evern,daily,kl,historical,75.17783406231526,1003,Lübeck
2961,1998-01-01,2024-05-12,54.4996,10.2737,Leuchtturm Kiel,daily,kl,historical,75.72712462544274,1003,Lübeck
5516,1948-01-01,2024-05-12,54.5283,11.0606,Fehmarn,daily,kl,historical,76.07109777813672,1003,Lübeck
760,1976-06-01,2024-05-12,53.3629,9.9435,Rosengarten-Klecken,daily,kl,historical,76.7157953316899,1003,Lübeck
2429,1988-03-01,2024-05-12,53.9897,9.5697,Itzehoe,daily,kl,historical,76.91505699392866,1003,Lübeck
