"district_no","accumulation_period","corrcoef_"
1003,"3:9",0.891457303455017
1051,"3:7",0.713538762379952
1053,"3:8",0.749377686165337
1054,"3:8",0.846710983174106
1055,"3:8",0.726447493702238
1056,"3:7",0.808992455845721
1057,"3:4",0.766889671839743
1058,"3:7",0.749284188679712
1059,"3:7",0.670335746415273
1060,"3:9",0.878802320307704
1061,"3:9",0.795766773681023
1062,"3:9",0.90495692753298
3101,"3:7",0.907522921288216
3102,"3:7",0.790466210298433
3103,"3:10",0.754083430379464
3151,"3:7",0.724519820078945
3153,"3:7",0.83087480179232
3154,"3:6",0.768933899532565
3155,"3:10",0.786154955642162
3157,"3:5",0.660160301577748
3158,"3:7",0.830530535404974
3159,"3:7",0.862202243335698
3241,"3:5",0.667962487920025
3251,"3:10",0.794357308328316
3252,"3:5",0.683873874615299
3254,"3:7",0.800936640157999
3255,"3:7",0.798482922300459
3256,"3:10",0.873108835686504
3257,"3:5",0.688644204460659
3351,"3:10",0.644022545691072
3352,"3:6",0.77729800929696
3353,"3:7",0.8466203173883
3354,"3:10",0.716083699299189
3355,"3:8",0.749901867090586
3357,"3:10",0.812239910267486
3358,"3:7",0.754989090639502
3359,"3:5",0.818448712644353
3360,"3:7",0.652361646911451
3361,"3:7",0.85166268212867
3452,"3:7",0.829367550111757
3453,"3:7",0.634239370437368
3454,"3:6",0.661732007847624
3455,"3:4",0.797086072207449
3456,"3:10",0.719024652379451
3457,"3:3",0.704193940141323
3458,"3:10",0.738640464501472
3459,"3:6",0.777527206114115
3460,"3:7",0.766949297887084
3462,"3:4",0.797922017546357
5158,"3:6",0.706409152089225
5162,"3:4",0.611622567221552
5166,"3:10",0.629999807288323
5334,"3:10",0.706987121214184
5370,"3:6",0.656407140024931
5382,"3:4",0.71092442612454
5558,"3:6",0.7511061131068
5570,"3:6",0.684477286210617
5754,"3:10",0.735645473577253
5762,"3:8",0.696660050035652
5766,"3:8",0.69724209397825
5915,"3:6",0.706391453017368
5974,"3:6",0.641315112190387
6432,"3:6",0.419486621198308
6433,"3:6",0.633983571800703
6434,"3:4",0.493431240079052
6435,"3:7",0.771373109413425
6437,"3:4",0.617253152703874
6439,"3:3",0.594592767196754
6440,"3:8",0.670124495632628
6531,"3:3",0.57755884186066
6533,"3:10",0.515145966896748
6534,"3:4",0.660979852469384
6535,"3:9",0.669697485201176
6631,"3:10",0.605256369668874
6632,"3:4",0.565855844749512
6633,"3:10",0.696305742087986
6634,"3:5",0.696125254003162
6635,"3:9",0.681819204065662
6636,"3:9",0.799580779118808
7133,"3:3",0.631802532717158
7137,"3:5",0.646663095478485
7140,"3:4",0.744109512457233
7141,"3:3",0.616414370406863
7231,"3:4",0.797398215449736
7232,"3:6",0.606314016887192
7235,"3:9",0.712399886858517
7331,"3:9",0.731313966081169
7332,"3:4",0.739520012712029
7333,"3:5",0.837660152532811
7334,"3:6",0.762097553411829
7336,"3:5",0.81353541286874
7337,"3:9",0.735398673237749
7339,"3:9",0.767022040557035
7340,"3:5",0.633311593728345
8115,"3:5",0.711841973123825
8116,"3:7",0.748093027062895
8117,"3:7",0.829814389573497
8118,"3:4",0.529583584300474
8119,"3:7",0.704132472571921
8125,"3:7",0.578778214222966
8126,"3:4",0.741775985732684
8127,"3:4",0.741850050523228
8128,"3:4",0.827053926903854
8135,"3:7",0.714107072004915
8136,"3:7",0.745084975292881
8215,"3:7",0.570805747114405
8225,"3:4",0.709678181997261
8226,"3:5",0.825553884712021
8236,"3:10",0.73595840791126
8237,"3:6",0.841397912492298
8315,"3:3",0.664748339529371
8317,"3:6",0.903046548256586
8325,"3:5",0.963614241319569
8327,"3:3",0.71024360662258
8337,"3:9",0.916217654330626
8415,"3:4",0.856522261551247
8416,"3:4",0.886128137203925
8417,"3:4",0.830658994319192
8425,"3:7",0.811236075985198
