"district_no","accumulation_period","Year","stations_rain","stations_temp","Y_t","IR_t","IT_t","prediction"
1003,"3:9",2006,5280,1736,89.3551470588235,547,13.2873831775701,88.5950405360281
1003,"3:9",2007,5280,1736,73.8514705882353,627.3,13.6294392523364,71.7776957402328
1003,"3:9",2008,5280,1736,95.847794117647,434.7,13.0677570093458,95.7592525941061
1003,"3:9",2009,5280,1736,89.5441176470588,351.5,13.4822429906542,92.2998330173256
1003,"3:9",2010,5280,1736,90.1404411764706,482.3,12.7084112149533,92.8991346451551
1003,"3:9",2011,5280,1736,83.3367647058823,571.7,13.3668224299065,84.5035933594393
1003,"3:9",2012,5280,1736,87.7330882352941,386.2,12.9490654205607,92.7606371011097
1003,"3:9",2013,5280,1736,89.5294117647059,471.3,12.1654205607477,89.8493995184985
1003,"3:9",2014,5280,1736,106.425735294118,425.3,13.9757009345794,99.2263757087744
1003,"3:9",2015,5280,1736,100.722058823529,415.6,12.7663551401869,93.4661537518051
1003,"3:9",2016,5280,1736,97.7183823529412,397.1,13.5869158878505,96.943476701197
1003,"3:9",2017,5280,1736,85.2147058823529,577.2,13.0369158878505,82.654848206141
1003,"3:9",2018,5280,1736,76.3110294117647,248.3,14.4443925233645,77.2790041097836
1003,"3:9",2019,5280,1736,86.1073529411765,524.8,13.8771028037383,92.9082369469774
1003,"3:9",2020,5280,1736,84.6036764705882,302.8,13.3032710280374,83.3560215818892
1003,"3:9",2021,5280,1736,88.9,521.4,12.9971962616822,91.0624729521216
1051,"3:7",2006,1266,1200,86.3977941176471,242.2,11.3235294117647,87.1502098372024
1051,"3:7",2007,1266,1200,76.4579411764706,443.9,12.7241830065359,75.1500865833417
1051,"3:7",2008,1266,1200,97.8180882352941,351.2,11.8751633986928,93.8003558350958
1051,"3:7",2009,1266,1200,93.0782352941176,368.4,11.9509803921569,92.2919720128322
1051,"3:7",2010,1266,1200,88.3383823529412,235.8,11.1718954248366,85.5318806205371
1051,"3:7",2011,1266,1200,89.4985294117647,254.1,11.7013071895425,89.9383709951078
1051,"3:7",2012,1266,1200,87.0586764705882,380.9,11.243137254902,92.8916812058185
1051,"3:7",2013,1266,1200,86.4188235294118,269.3,9.92549019607843,88.8316728098801
1051,"3:7",2014,1266,1200,102.178970588235,304.9,12.778431372549,94.5212888112728
1051,"3:7",2015,1266,1200,98.5391176470588,418.5,10.8869281045752,89.4183409185936
1051,"3:7",2016,1266,1200,84.2992647058824,382.3,11.8901960784314,90.922918206143
1051,"3:7",2017,1266,1200,89.6594117647059,390.6,11.8777777777778,89.8773232959005
1051,"3:7",2018,1266,1200,76.3195588235294,184,12.8705882352941,80.9059724968499
1051,"3:7",2019,1266,1200,88.7797058823529,360.1,12.4424836601307,92.0147260607415
1051,"3:7",2020,1266,1200,93.9398529411765,243.9,11.6366013071895,88.2530258000436
1051,"3:7",2021,1266,1200,85.7,369.4,11.6176470588235,92.9825274518159
1053,"3:8",2006,1736,591,83.6044117647059,407.5,13.1054347826087,88.5156392563901
1053,"3:8",2007,1736,591,72.8241176470588,505.3,14.058152173913,75.9508045284306
1053,"3:8",2008,1736,591,91.7438235294118,363.6,13.2690217391304,90.8038826789331
1053,"3:8",2009,1736,591,90.8635294117647,328.6,13.7722826086957,89.1444540727086
1053,"3:8",2010,1736,591,86.8832352941176,451.8,13.083152173913,85.6123677265076
1053,"3:8",2011,1736,591,77.6029411764706,381.4,13.5788043478261,88.3121164197502
1053,"3:8",2012,1736,591,87.4226470588235,302,13.275,93.7557004430497
1053,"3:8",2013,1736,591,91.4423529411765,272.9,12.1630434782609,90.1380286016078
1053,"3:8",2014,1736,591,104.162058823529,323.3,13.8451086956522,88.5660686579554
1053,"3:8",2015,1736,591,95.8817647058823,347.9,13.0679347826087,91.9221367900705
1053,"3:8",2016,1736,591,90.9014705882353,321.1,13.4032608695652,92.3569797406863
1053,"3:8",2017,1736,591,83.8211764705882,530.1,13.2548913043478,79.7480016207883
1053,"3:8",2018,1736,591,66.4408823529412,238.7,14.9309782608696,69.5235138641736
1053,"3:8",2019,1736,591,84.8605882352941,340.2,14.3451086956522,80.3253143956111
1053,"3:8",2020,1736,591,86.2802941176471,303.8,13.8005434782609,89.8516064563674
1053,"3:8",2021,1736,591,86.1,441.6,13.0842391304348,86.3086788646131
1054,"3:8",2006,7298,4393,86.7213235294118,361.2,12.3576086956522,82.9872235663791
1054,"3:8",2007,7298,4393,79.2732352941176,527.2,13.6114130434783,81.6228280944148
1054,"3:8",2008,7298,4393,88.3251470588235,430.9,12.9391304347826,91.214188472521
1054,"3:8",2009,7298,4393,94.0770588235294,418.3,13.0646739130435,91.9801930794917
1054,"3:8",2010,7298,4393,92.3289705882353,405.3,12.1826086956522,92.5334654696991
1054,"3:8",2011,7298,4393,84.1808823529412,495.2,12.5336956521739,86.4673238617463
1054,"3:8",2012,7298,4393,88.2327941176471,423,12.3739130434783,92.0744277046325
1054,"3:8",2013,7298,4393,82.2847058823529,306.3,11.2391304347826,82.64177642539
1054,"3:8",2014,7298,4393,99.4366176470588,470.9,13.6108695652174,95.911098313326
1054,"3:8",2015,7298,4393,98.4885294117647,445.7,12.2119565217391,94.5709503579304
1054,"3:8",2016,7298,4393,84.2404411764706,424.9,12.9326086956522,91.1576987873859
1054,"3:8",2017,7298,4393,86.3923529411765,513.8,12.6505434782609,81.6892959370261
1054,"3:8",2018,7298,4393,72.0442647058824,285.7,13.5597826086957,74.4614278939861
1054,"3:8",2019,7298,4393,90.0961764705882,348.9,13.3885869565217,88.8697814245694
1054,"3:8",2020,7298,4393,91.8480882352941,365.4,13.0407608695652,86.2338108097504
1054,"3:8",2021,7298,4393,87.3,412.1,12.433152173913,90.855098037033
1055,"3:8",2006,2306,596,95.4014705882353,410.5,12.3152173913043,89.1532276741167
1055,"3:8",2007,2306,596,85.9747058823529,521.7,13.120652173913,85.8410547948102
1055,"3:8",2008,2306,596,107.647941176471,331.8,12.6282608695652,101.344286860702
1055,"3:8",2009,2306,596,106.721176470588,271.2,12.9097826086957,102.568657278035
1055,"3:8",2010,2306,596,93.5944117647059,351.1,12.3407608695652,98.8783028396136
1055,"3:8",2011,2306,596,79.7676470588235,419.9,12.6342391304348,91.2971444190616
1055,"3:8",2012,2306,596,102.040882352941,293.3,12.2097826086957,106.949090152175
1055,"3:8",2013,2306,596,99.9141176470588,338.2,11.6929347826087,97.1782505280346
