"district_no","year","Station_Rain","Station_Temp","Yield","Correlation","IR","IT"
1003,2006,5280,1736,89.3551470588235,"3:3",83.8,0.629032258064516
1003,2006,5280,1736,89.3551470588235,"3:4",173.2,4.10491803278689
1003,2006,5280,1736,89.3551470588235,"3:5",257.5,7.09347826086957
1003,2006,5280,1736,89.3551470588235,"3:6",291.2,9.34754098360656
1003,2006,5280,1736,89.3551470588235,"3:7",309.3,11.9045751633987
1003,2006,5280,1736,89.3551470588235,"3:8",497.6,12.7
1003,2006,5280,1736,89.3551470588235,"3:9",547,13.2873831775701
1003,2006,5280,1736,89.3551470588235,"3:10",629.8,13.1669387755102
1003,2007,5280,1736,73.8514705882353,"3:3",75.2,7.02903225806452
1003,2007,5280,1736,73.8514705882353,"3:4",78.6,8.84098360655738
1003,2007,5280,1736,73.8514705882353,"3:5",190.7,10.4260869565217
1003,2007,5280,1736,73.8514705882353,"3:6",298.9,12.0459016393443
1003,2007,5280,1736,73.8514705882353,"3:7",453.2,12.997385620915
1003,2007,5280,1736,73.8514705882353,"3:8",527.7,13.6603260869565
1003,2007,5280,1736,73.8514705882353,"3:9",627.3,13.6294392523364
1003,2007,5280,1736,73.8514705882353,"3:10",657.6,12.9395918367347
1003,2008,5280,1736,95.847794117647,"3:3",92.3,4.5
1003,2008,5280,1736,95.847794117647,"3:4",134.5,6.12622950819672
1003,2008,5280,1736,95.847794117647,"3:5",148.8,8.74021739130435
1003,2008,5280,1736,95.847794117647,"3:6",198.8,10.7065573770492
1003,2008,5280,1736,95.847794117647,"3:7",261.2,12.2607843137255
1003,2008,5280,1736,95.847794117647,"3:8",386.1,13.0739130434783
1003,2008,5280,1736,95.847794117647,"3:9",434.7,13.0677570093458
1003,2008,5280,1736,95.847794117647,"3:10",537.2,12.6097959183673
1003,2009,5280,1736,89.5441176470588,"3:3",63.7,4.81290322580645
1003,2009,5280,1736,89.5441176470588,"3:4",69.6,8.29016393442623
1003,2009,5280,1736,89.5441176470588,"3:5",131.5,9.83369565217391
1003,2009,5280,1736,89.5441176470588,"3:6",216.5,10.8795081967213
1003,2009,5280,1736,89.5441176470588,"3:7",295.1,12.3483660130719
1003,2009,5280,1736,89.5441176470588,"3:8",319.9,13.3489130434783
1003,2009,5280,1736,89.5441176470588,"3:9",351.5,13.4822429906542
1003,2009,5280,1736,89.5441176470588,"3:10",423.5,12.7567346938776
1003,2010,5280,1736,90.1404411764706,"3:3",71.2,4.50322580645161
1003,2010,5280,1736,90.1404411764706,"3:4",91.8,6.4672131147541
1003,2010,5280,1736,90.1404411764706,"3:5",173.5,7.675
1003,2010,5280,1736,90.1404411764706,"3:6",217.6,9.58770491803279
