"year","period","78","91","150","164","167","183","257","282","294","320","377","390","403","427","535","656","757","817","853","880","896","917","963","979","1048","1052","1078","1197","1262","1266","1327","1332","1420","1451","1468","1544","1550","1587","1590","1602","1612","1684","1721","1735","1736","1757","1766","1975","1981","2014","2110","2171","2252","2261","2290","2306","2319","2362","2429","2444","2480","2483","2486","2578","2600","2627","2667","2680","2712","2750","2794","2812","2814","2928","2932","2947","2951","3015","3028","3031","3032","3042","3083","3098","3167","3231","3271","3340","3366","3379","3402","3540","3545","3631","3667","3668","3734","3761","3811","3857","3925","3927","3987","4036","4094","4127","4169","4189","4275","4287","4300","4336","4349","4377","4393","4411","4466","4480","4592","4605","4642","4651","4841","4931","4978","5014","5029","5133","5229","5275","5280","5300","5371","5541","5629","5643","5664","5692","5705","5717","5731","5797","5839","5856","6158","6170","6217","6258","6260","6263","6310","6314","6337","6344","6347","7075","7187","7298","7331","7341"
2006,"3:3",71.5,52.6,46.2,43.5,34,42.3,174.7,62.1,52.1,69.4,89.2,131,38,33.7,83.9,142.3,160.9,63.6,74.1,45.4,51.8,86.4,55.2,84.6,49,35.9,64.1,101.4,104.3,82.8,39.5,118.9,65.8,81.4,274.2,57.4,105.6,68,67.3,123.3,55.6,49.6,118.1,173.6,72.8,28.9,69.2,65.7,89.5,47.8,58,65.4,54.2,58.7,102.5,46.7,151,89.3,68.3,65.8,63.4,144.6,73.1,47.9,56.9,55,79.3,48.3,122.7,79.2,46.2,108.2,119.7,57.4,49.7,114.4,60.7,45,88,72.1,25.9,121.8,44.4,117,140.5,84.4,160.2,97.8,120.2,111.5,100.2,108.3,107.3,56.2,76.8,49,90.6,87.6,48.4,186.8,84.2,111.9,42.4,53.2,136.1,148,102.7,74.8,64.2,72.9,105.2,94.5,79.4,107,51.4,74.5,66.1,97.9,53.6,50.6,57.3,55.2,84.5,68.1,123.2,62.7,128.4,52.3,131.4,55.9,83.8,58.4,145.7,80.9,36.2,45.5,164.5,46.4,57.3,126,197.5,63,57.7,160.2,63.2,40.1,86.2,117,73.3,131.4,24.1,58.1,77.1,60.8,58.6,89.2,92,55.6,75.3,66.9
2007,"3:3",56.7,59.6,50.2,52.9,58.1,27.7,159.4,45.6,67.3,47.3,100.1,83.7,55.9,53,76.8,146.1,106.4,63.8,42.3,58.9,49.4,61.5,56.2,58.2,37.9,63.2,64.2,63.8,29.7,49.9,33.4,36.9,47.6,50,112.8,61.9,79.7,40.7,47.1,106.3,49,41,66.8,81.1,57.2,62.6,43.5,54,53.9,64.9,46.5,50.8,40.7,52.4,48.8,51.5,45.7,53,59.8,48.7,50.6,106,78,33.5,45.9,44.1,53.5,38.8,66.6,57.6,52,90.8,68.4,54.8,46.1,82.1,53.7,50.2,77,60,29.6,73.6,51.5,126.3,73.9,57.4,37.9,54.5,27,31.5,68.7,73.8,74.3,64.1,59,45,61,62.5,50.6,106.7,79.4,59.6,53.2,45.2,60.8,115.8,97.9,33.7,55.2,57.9,60.8,86.1,47,65.2,53.5,54.6,57.6,70.6,41.9,65.8,51.5,88.1,50.4,63.4,68.9,61.4,84.3,63.4,71.8,76.4,75.2,70,81.2,64.7,50.7,56.4,91.1,42.5,46.5,103.9,83.7,34.7,59.2,46.5,44.1,52.5,90.4,58.6,62.2,51.9,48.8,41.9,50,42.2,47.6,40.1,53.4,55.4,36.2,53.2
2008,"3:3",83,67.6,51,60.5,59.5,36.4,186,73.5,76.3,94.1,99.1,118.8,59.9,58.7,90.6,186,98.3,74.5,48.7,47.4,60,81.1,78.3,88.3,53,46,75.9,135.4,58,95.1,79.4,72.2,64.3,106.7,217.9,52.2,127.4,67.5,83.7,82.5,39.7,45.4,130.1,193.1,95.8,54.9,62.6,93.2,96,70,77.3,64.4,63.8,68.8,69.4,55.6,119.6,98.8,83.9,47.7,73.4,160.8,102.7,41.2,74.2,48.6,71,49.7,52,93.1,73.2,49,110.2,52.9,34.5,84.7,82.2,60.7,71.9,55.8,80.6,132.5,46.4,115.8,120.4,77.8,120.3,106.7,65.4,58.9,72.4,105.3,138.3,78.4,109.2,65.7,124.8,127.7,49.5,176.8,107.7,54.3,47.7,39.7,61.3,134.2,90.2,32.3,85.3,84,70,120.4,84.5,104.6,84.8,89.9,114,104.7,72.1,54.7,84.3,88.4,86.6,50.1,84.4,85,137.8,63.8,103,74.5,92.3,71.7,125.6,86.1,47.4,79.9,116.5,39.5,76.7,123.2,143.4,47.6,87.6,99.3,74.1,58.1,110.7,47.9,110.8,59.2,57,48.3,72.5,66.7,63.8,66.7,124.9,93.6,65.4,74.8
2009,"3:3",70.1,52.3,47.9,40,44.6,44.5,190.9,60,71.4,68.3,97.4,90.1,42.5,37.4,71.3,126,137.8,55.2,67.4,60.1,39.1,88.3,50.5,70.9,51.4,44.9,86.7,107.6,62.9,69.7,72.6,83.6,56,77.9,161.5,38.9,120.5,68.1,66.6,128.5,52.3,77.1,102.9,118,58.5,50.4,58.8,74,78.2,59.1,50.9,57.2,64.1,47.8,74.6,38.8,165.4,116.1,72.7,48.8,65.4,130.2,71.6,32.6,53.7,54.8,103.7,47.4,66.8,82.6,50.1,92.1,124.7,63.2,52.7,70.4,45.3,41.9,91.5,75.5,45.1,86.2,38.9,139,128.5,60.4,120,117.2,86.3,94.2,94.7,138.4,103.9,60.7,81.4,57.2,104.4,88.4,50.8,140.4,86.8,65.3,39.8,48.8,85.4,116.1,107.8,46.5,68.1,66,74.4,87,70.7,92.3,67.9,65.6,69.7,82.1,47.6,44,47.2,79.7,74.6,65.5,86.2,65.6,84.1,72.7,87.1,65.4,63.7,94,117.5,81.2,46,41.1,122,36.3,54.7,146.7,117.1,52.6,66,101.1,72.2,44.1,84.4,84,81.6,68.6,42.9,53.4,71.9,52.6,49.9,60.1,88.2,61.8,95.8,60.7
2010,"3:3",56.6,37.6,18.4,35.3,29.3,22.6,59.6,27.4,61.9,33.6,32.6,74.5,39.8,31.4,43.5,93,60.7,53.9,53.5,39.8,21.6,37.1,45.7,57.4,43.9,38.5,45.8,49.5,28.7,53.5,31.4,26.6,28.6,61,88.4,37.6,46.9,34.1,51.7,41,30.3,46.3,60.9,78.9,68.1,35,49.7,90.1,107.9,58.5,51.5,44.7,42,37.2,31,44.5,62.5,79.3,58.1,37.2,25.9,106.8,42,37.8,29.6,34.2,61.5,25.2,35.1,51.7,50.2,34.9,38.8,55.5,41.9,64,44.3,35.9,74.7,58.5,22.4,68.8,35,86.8,91.6,37.2,59.7,74.6,34.5,39.1,49.3,93.4,64.5,27.2,44.2,26.1,49.7,44.9,47.5,88.2,36.3,33.7,40.6,31.9,36.7,86.7,45.6,22,87.1,42.5,35,52.1,38.3,62.3,29.8,30.3,67,62.3,34.7,20.4,34,81.8,57.5,29.4,49.2,71.4,68.8,60,46.1,31.5,71.2,39.2,85.7,33.4,50.8,52.1,81.2,23,29.7,81.8,62.1,29.3,40.2,43.9,32.4,41.2,53.3,46.9,51.3,28.3,38.7,41.2,55,54.5,33.8,29.5,52.3,33.6,24.1,28.1
2011,"3:3",10.7,6.1,10.2,31.3,29.3,24.6,23.5,18.1,7.6,10.4,13.7,17.2,16.5,15.6,15.3,20.4,42.6,10.4,14.7,27.5,21.1,16.1,7.3,12.8,26.2,11.9,18.3,13,53.1,19.4,15,43.5,14.5,13.8,29.3,11.2,46.8,20.5,20.2,29.5,12.2,40.4,17.8,33.6,13.7,30.1,8,14.7,15.7,10.2,15.4,5.8,32.8,10.5,65.4,13.8,83.1,19,19.9,11.6,12.8,14.5,10.2,12.9,8.2,20.3,15.5,8.3,31.3,16.8,18.7,25.7,25.3,13.3,9.3,11.5,14.5,25.9,7.8,4.1,12.8,21,24.1,12.6,20.3,8.8,39.2,17.1,48.7,69.6,29.9,20.8,14,8.4,14.9,10.4,17.8,17.6,15.9,62.2,26.7,28,17.4,14.3,27.8,21.2,19.5,22.9,11.2,9.5,28.5,17.5,17.6,9.2,13.8,17.1,23.6,10.8,11.2,18.1,17.1,16.7,10,22.3,8.9,6.2,20.1,6,34.2,17.7,18.8,15.1,17,12.4,12.1,20.7,43.1,13.1,6.4,21.8,21.5,10.1,11.1,33,12.2,24.5,13.8,33,11.3,22,22,14.3,7.5,15.6,13.4,33.6,10,20.9,16.5,14.1
2012,"3:3",19.3,6.7,6.8,12.1,11,12.2,39.6,10.4,20.3,9.2,12.2,12.5,7.7,9,14.7,26.9,26.5,6.8,24,12.6,7,19.3,12.3,16,16.2,8,26.6,12.3,11.4,14.2,7.6,12.5,16.4,13.8,14.7,6.5,31.7,11.2,19.8,24.4,6.4,18.8,21.1,15.5,6.2,10.1,18.4,10.1,10.4,13.1,15.4,13.4,17.4,9.1,34.8,7.2,51.2,21.8,11.4,4.6,11.4,22.3,9.4,5.7,4.9,13.8,28,6.4,16,10.4,8.4,18.7,14.3,7.3,4.6,10.2,8.1,11.4,22.4,11.7,15.7,16.9,10.8,16.7,26.3,8.8,18.5,20.7,15.9,23.9,28.5,27.8,15.3,12.6,15.2,9.3,14,9.8,12,42.5,12.4,18.5,8.6,8.8,21.4,23,19.1,16.7,13.8,9.7,18,17.1,8.9,17.9,17.1,10.3,12.8,16.5,11.1,5.5,8.9,20.9,14.8,10.9,16.5,14.3,18.8,11,17,11.8,8.6,15.6,37.8,21.2,7.6,6.5,33.5,8.8,5.6,32.5,18.5,12.1,14.3,10.6,9,14,18,20.4,6.5,12.1,10.3,10.9,15.4,12.6,7,8.7,13.2,13.9,10.3,15.3
2013,"3:3",23,28.8,31.9,26.6,18.1,11.5,47.9,28.1,48.2,30.9,47.4,39.2,24.3,25.5,26.8,45.6,48.6,39.1,25.3,31.5,41.7,29,25,34,26.9,30.5,32.6,47.8,37.5,18.4,33.4,36.2,27.4,14,67.1,36.6,60.4,23.7,29.2,41.3,35.9,36,27.6,38,27.1,25.6,26.9,16.8,22.3,21.8,36.1,27.6,33.3,24.4,59.1,30.7,56.3,35.2,10.2,33.6,29.2,43.4,48.2,24.5,24.2,32.7,40.2,22.4,62,25.7,23.8,38.1,49.1,33.2,28.6,36,31.4,31.5,35,35.1,3.3,29.1,30,38.3,23.1,21.2,40.7,31.5,38.5,49.1,48.3,45.9,54.7,20.5,23.2,19.8,38.5,38.3,24.6,74.8,29.6,41.2,35.3,36.9,49.1,44.5,25.8,28.8,15.2,30.5,45,53.1,26.6,40.2,10.1,30.1,15.7,28.6,17.7,43.5,28.7,30.5,13.3,28,24.3,21.8,48,31.3,46.4,33.7,23.4,25.7,32.6,39.7,24.4,27.5,41.6,20,26.1,47.1,54.8,34.7,19.2,46.5,23.7,23.6,53.4,53.6,44.7,44.4,8.9,30.2,28.4,18.2,24.9,35.2,29.1,7.1,41,34.4
2014,"3:3",23.2,12.7,6.8,17.9,15.1,18.8,22.8,15.4,14.1,15.8,9.4,21,18.7,23.5,8.6,36.1,19.2,7.9,23.7,27.5,12.6,15.3,14.8,20.9,25,9.5,8.2,12,19.5,27.1,5.4,27.6,10.9,25,20.4,6.4,82.7,12.4,12.1,17.1,4,44.5,13.9,35.7,24.9,19.9,14.4,17.6,25.4,16.9,9.4,13.3,46.5,16,51.2,21.9,42.7,9.9,27.5,4.1,11.2,28.8,11.1,16.2,9.9,21.5,10.4,8.5,27.2,16.4,14,18.4,15,10.1,10.6,18.5,11.5,20.9,18.3,11.7,28.7,20.1,18.5,30.5,24.2,13,24.4,9.9,28.9,28.2,16.3,20.2,12,20.4,8.2,5.1,6.1,11.5,22.9,71.6,8.9,30.6,23.2,12.7,28.1,21.8,9.6,18.3,18.2,7.4,13,10.6,6.1,14.3,24.5,9.3,30.6,13.3,8.7,12.3,13.1,10.3,25.9,9.5,13.9,21.5,9.8,8.9,16.5,11.6,28.2,11.4,22.6,9.2,15.4,18.6,16.8,8.2,7.7,21.1,33.7,8.9,35.2,26.4,8.9,22.3,10.8,33.8,7.1,33.7,19,15.1,7.6,6.5,10.1,16.7,11.5,22.7,6.6,11.5
