"district_no","accumulation_period","corrcoef_"
1003,"3:9",0.908490112616749
1051,"3:7",0.712577360534688
1053,"3:8",0.676459181418935
1054,"3:8",0.822694475686894
1055,"3:4",0.732467528446305
1056,"3:7",0.804898299553653
1057,"3:4",0.814809260086832
1058,"3:7",0.733210200292275
1059,"3:7",0.660169718007261
1060,"3:9",0.88937971403491
1061,"3:5",0.864019604654711
1062,"3:9",0.928055118534626
3101,"3:7",0.897028466455488
3102,"3:7",0.759881279284447
3103,"3:10",0.772410710826434
3151,"3:7",0.707846665615617
3153,"3:10",0.812545837540196
3154,"3:6",0.747443884321711
3155,"3:10",0.802125794971716
3157,"3:5",0.667110387880614
3158,"3:7",0.814155548697435
3159,"3:10",0.863670801388743
3241,"3:5",0.691008037665236
3251,"3:7",0.784233399866299
3252,"3:9",0.616580331362859
3254,"3:7",0.778602362834616
3255,"3:10",0.778429491772009
3256,"3:10",0.813142450579348
3257,"3:9",0.618921698770218
3351,"3:10",0.669399230312235
3352,"3:6",0.806906102131372
3353,"3:7",0.901214851104444
3354,"3:10",0.664942675493139
3355,"3:8",0.730252093049779
3357,"3:7",0.925177577904756
3358,"3:10",0.827942802756789
3359,"3:5",0.807420382068005
3360,"3:7",0.668167766629953
3361,"3:7",0.987439940800226
3452,"3:7",0.828848622097531
3453,"3:7",0.627446937589838
3454,"3:6",0.654979496239388
3455,"3:8",0.775139476975685
3456,"3:7",0.648725240007239
3457,"3:3",0.72866968086584
3458,"3:10",0.720932352415164
3459,"3:6",0.773111948662864
3460,"3:7",0.774625177288552
3462,"3:8",0.758707739499538
5158,"3:5",0.754465251931232
5162,"3:6",0.605863984970743
5166,"3:10",0.666536491547991
5334,"3:10",0.718077519697603
5370,"3:6",0.666482027736746
5382,"3:4",0.716456791335322
5558,"3:6",0.714106047982882
5570,"3:9",0.674922198087732
5754,"3:9",0.724274220271426
5762,"3:8",0.693997187239125
5766,"3:8",0.707533696309747
5915,"3:6",0.697853895403192
5974,"3:6",0.639117399507788
6432,"3:9",0.418117967678752
6433,"3:6",0.610957488521914
6434,"3:4",0.502213258997025
6435,"3:7",0.740429540384037
6437,"3:4",0.647909475274356
6439,"3:5",0.614140206015387
6440,"3:10",0.452733832606246
6531,"3:3",0.568740875070782
6533,"3:10",0.614022234911015
6534,"3:4",0.646469643906288
6535,"3:9",0.62614496232196
6631,"3:10",0.723293855482333
6632,"3:4",0.559635662543641
6633,"3:9",0.658269540102078
6634,"3:5",0.691554035839598
6635,"3:4",0.808201240339384
6636,"3:5",0.645953921598156
7133,"3:9",0.610677348198251
7137,"3:5",0.661152909271978
7140,"3:3",0.649427332031416
7141,"3:3",0.587663262497496
7231,"3:4",0.786109274058153
7232,"3:5",0.669426090612664
7235,"3:9",0.672243712053433
7331,"3:9",0.725075796439441
7332,"3:4",0.744827273548408
7333,"3:5",0.840425652760103
7334,"3:7",0.707060787138322
7336,"3:5",0.804024130072573
7337,"3:7",0.723128760608426
7339,"3:9",0.772415685733114
7340,"3:5",0.602152799648
8115,"3:5",0.710720546812376
8116,"3:5",0.746141748216094
8117,"3:7",0.789366831368153
8118,"3:4",0.537567447891306
8119,"3:7",0.694383788618529
8125,"3:7",0.580240214005465
8126,"3:4",0.76723679455805
8127,"3:4",0.710101553765047
8128,"3:4",0.842983314738996
8135,"3:7",0.734913881460731
8136,"3:7",0.725207803606952
8215,"3:5",0.528456981073161
8225,"3:4",0.675837084713793
8226,"3:5",0.821349490928881
8236,"3:7",0.686169315767251
8237,"3:6",0.826963370360254
8315,"3:4",0.674112641931316
8317,"3:6",0.902029979242331
8325,"3:5",0.959469873050328
