"district_no","year","stations_id","Yield","Correlation","IR","IT"
1003,2006,5280,89.3551470588235,"3:3",83.8,0.693548387096774
1003,2006,5280,89.3551470588235,"3:4",173.2,4.02950819672131
1003,2006,5280,89.3551470588235,"3:5",257.5,6.90434782608696
1003,2006,5280,89.3551470588235,"3:6",291.2,9.30163934426229
1003,2006,5280,89.3551470588235,"3:7",309.3,11.8921568627451
1003,2006,5280,89.3551470588235,"3:8",497.6,12.6766304347826
1003,2006,5280,89.3551470588235,"3:9",547,13.2467289719626
1003,2006,5280,89.3551470588235,"3:10",629.8,13.1334693877551
1003,2007,5280,73.8514705882353,"3:3",75.2,6.65483870967742
1003,2007,5280,73.8514705882353,"3:4",78.6,8.52131147540984
1003,2007,5280,73.8514705882353,"3:5",190.7,10.0326086956522
1003,2007,5280,73.8514705882353,"3:6",298.9,11.6229508196721
1003,2007,5280,73.8514705882353,"3:7",453.2,12.6196078431373
1003,2007,5280,73.8514705882353,"3:8",527.7,13.3663043478261
1003,2007,5280,73.8514705882353,"3:9",627.3,13.3523364485981
1003,2007,5280,73.8514705882353,"3:10",657.6,12.7408163265306
1003,2008,5280,95.847794117647,"3:3",92.3,4.41612903225806
1003,2008,5280,95.847794117647,"3:4",134.5,5.9016393442623
1003,2008,5280,95.847794117647,"3:5",148.8,8.38804347826087
1003,2008,5280,95.847794117647,"3:6",198.8,10.2467213114754
1003,2008,5280,95.847794117647,"3:7",261.2,11.7915032679739
1003,2008,5280,95.847794117647,"3:8",386.1,12.6407608695652
1003,2008,5280,95.847794117647,"3:9",434.7,12.6985981308411
1003,2008,5280,95.847794117647,"3:10",537.2,12.265306122449
1003,2009,5280,89.5441176470588,"3:3",63.7,4.68387096774194
1003,2009,5280,89.5441176470588,"3:4",69.6,7.81475409836066
1003,2009,5280,89.5441176470588,"3:5",131.5,9.36086956521739
1003,2009,5280,89.5441176470588,"3:6",216.5,10.4590163934426
1003,2009,5280,89.5441176470588,"3:7",295.1,11.9516339869281
1003,2009,5280,89.5441176470588,"3:8",319.9,12.9913043478261
1003,2009,5280,89.5441176470588,"3:9",351.5,13.1780373831776
1003,2009,5280,89.5441176470588,"3:10",423.5,12.5024489795918
1003,2010,5280,90.1404411764706,"3:3",71.2,4.06451612903226
1003,2010,5280,90.1404411764706,"3:4",91.8,6.10819672131147
1003,2010,5280,90.1404411764706,"3:5",173.5,7.3054347826087
1003,2010,5280,90.1404411764706,"3:6",217.6,9.23852459016393
1003,2010,5280,90.1404411764706,"3:7",239.8,11.4673202614379
1003,2010,5280,90.1404411764706,"3:8",381.9,12.3576086956522
1003,2010,5280,90.1404411764706,"3:9",482.3,12.4088785046729
1003,2010,5280,90.1404411764706,"3:10",550,11.9555102040816
1003,2011,5280,83.3367647058823,"3:3",18.8,3.67741935483871
1003,2011,5280,83.3367647058823,"3:4",26.8,7.32622950819672
1003,2011,5280,83.3367647058823,"3:5",64.6,9.16304347826087
1003,2011,5280,83.3367647058823,"3:6",235.9,10.8549180327869
1003,2011,5280,83.3367647058823,"3:7",360.4,11.9823529411765
1003,2011,5280,83.3367647058823,"3:8",504.8,12.7695652173913
1003,2011,5280,83.3367647058823,"3:9",571.7,13.0130841121495
1003,2011,5280,83.3367647058823,"3:10",615.7,12.5730612244898
1003,2012,5280,87.7330882352941,"3:3",8.6,6.68064516129032
1003,2012,5280,87.7330882352941,"3:4",44.9,6.92459016393443
1003,2012,5280,87.7330882352941,"3:5",69.8,8.96086956521739
1003,2012,5280,87.7330882352941,"3:6",163.7,10.1885245901639
1003,2012,5280,87.7330882352941,"3:7",258.3,11.4692810457516
1003,2012,5280,87.7330882352941,"3:8",325,12.4255434782609
1003,2012,5280,87.7330882352941,"3:9",386.2,12.5242990654206
1003,2012,5280,87.7330882352941,"3:10",443.8,12.06
1003,2013,5280,89.5294117647059,"3:3",23.4,-0.941935483870968
1003,2013,5280,89.5294117647059,"3:4",43.1,2.96229508196721
1003,2013,5280,89.5294117647059,"3:5",192.7,6.14239130434783
1003,2013,5280,89.5294117647059,"3:6",320.4,8.32704918032787
1003,2013,5280,89.5294117647059,"3:7",354.2,10.4241830065359
1003,2013,5280,89.5294117647059,"3:8",391.7,11.6304347826087
1003,2013,5280,89.5294117647059,"3:9",471.3,11.8172897196262
1003,2013,5280,89.5294117647059,"3:10",529,11.7048979591837
1003,2014,5280,106.425735294118,"3:3",28.2,6.79354838709677
1003,2014,5280,106.425735294118,"3:4",90.3,8.31803278688525
1003,2014,5280,106.425735294118,"3:5",188.1,9.68478260869565
1003,2014,5280,106.425735294118,"3:6",231.2,11.1467213114754
1003,2014,5280,106.425735294118,"3:7",303.9,12.9437908496732
1003,2014,5280,106.425735294118,"3:8",374.7,13.4635869565217
1003,2014,5280,106.425735294118,"3:9",425.3,13.7514018691589
1003,2014,5280,106.425735294118,"3:10",483.3,13.5955102040816
1003,2015,5280,100.722058823529,"3:3",69.3,5.35161290322581
1003,2015,5280,100.722058823529,"3:4",88,6.64426229508197
1003,2015,5280,100.722058823529,"3:5",148.8,8.05434782608696
1003,2015,5280,100.722058823529,"3:6",172.3,9.62622950819672
1003,2015,5280,100.722058823529,"3:7",265.7,11.1764705882353
1003,2015,5280,100.722058823529,"3:8",333.4,12.4016304347826
1003,2015,5280,100.722058823529,"3:9",415.6,12.4892523364486
1003,2015,5280,100.722058823529,"3:10",457.3,12.0281632653061
1003,2016,5280,97.7183823529412,"3:3",34.1,4.24516129032258
1003,2016,5280,97.7183823529412,"3:4",82.9,5.70819672131148
1003,2016,5280,97.7183823529412,"3:5",118.2,8.45652173913044
1003,2016,5280,97.7183823529412,"3:6",228.8,10.5745901639344
1003,2016,5280,97.7183823529412,"3:7",313.1,12.0261437908497
1003,2016,5280,97.7183823529412,"3:8",369,12.8391304347826
1003,2016,5280,97.7183823529412,"3:9",397.1,13.3897196261682
1003,2016,5280,97.7183823529412,"3:10",440.7,12.8359183673469
1003,2017,5280,85.2147058823529,"3:3",59.7,6.50322580645161
1003,2017,5280,85.2147058823529,"3:4",113.6,6.7672131147541
1003,2017,5280,85.2147058823529,"3:5",196.8,9.06413043478261
1003,2017,5280,85.2147058823529,"3:6",323.5,10.8483606557377
1003,2017,5280,85.2147058823529,"3:7",432.4,12.0202614379085
1003,2017,5280,85.2147058823529,"3:8",496.4,12.8184782608696
1003,2017,5280,85.2147058823529,"3:9",577.2,12.9285046728972
1003,2017,5280,85.2147058823529,"3:10",745.2,12.7702040816327
1003,2018,5280,76.3110294117647,"3:3",52.4,1.4258064516129
1003,2018,5280,76.3110294117647,"3:4",85,5.88196721311475
1003,2018,5280,76.3110294117647,"3:5",111.6,9.19782608695652
1003,2018,5280,76.3110294117647,"3:6",131.2,11.1786885245902
1003,2018,5280,76.3110294117647,"3:7",151.7,12.9862745098039
1003,2018,5280,76.3110294117647,"3:8",221.4,13.9548913043478
1003,2018,5280,76.3110294117647,"3:9",248.3,14.0345794392523
1003,2018,5280,76.3110294117647,"3:10",290.3,13.6155102040816
1003,2019,5280,86.1073529411765,"3:3",113.6,6.43225806451613
1003,2019,5280,86.1073529411765,"3:4",142.9,7.68360655737705
1003,2019,5280,86.1073529411765,"3:5",207.5,8.71630434782609
1003,2019,5280,86.1073529411765,"3:6",279.9,11.072131147541
1003,2019,5280,86.1073529411765,"3:7",385.3,12.3679738562092
1003,2019,5280,86.1073529411765,"3:8",453.1,13.3385869565217
1003,2019,5280,86.1073529411765,"3:9",524.8,13.4028037383178
1003,2019,5280,86.1073529411765,"3:10",607.9,12.9987755102041
1003,2020,5280,84.6036764705882,"3:3",49.1,5.03870967741936
1003,2020,5280,84.6036764705882,"3:4",69.8,6.9655737704918
1003,2020,5280,84.6036764705882,"3:5",95.3,8.42282608695652
1003,2020,5280,84.6036764705882,"3:6",137.8,10.5237704918033
1003,2020,5280,84.6036764705882,"3:7",214.2,11.6078431372549
1003,2020,5280,84.6036764705882,"3:8",261.5,12.9760869565217
1003,2020,5280,84.6036764705882,"3:9",302.8,13.1056074766355
1003,2020,5280,84.6036764705882,"3:10",372,12.7861224489796
1003,2021,5280,88.9,"3:3",61.4,4.76774193548387
1003,2021,5280,88.9,"3:4",95.9,5.34426229508197
1003,2021,5280,88.9,"3:5",200,7.12173913043478
1003,2021,5280,88.9,"3:6",287.7,9.92540983606557
1003,2021,5280,88.9,"3:7",352.5,11.7660130718954
1003,2021,5280,88.9,"3:8",435,12.5076086956522
1003,2021,5280,88.9,"3:9",521.4,12.8373831775701
1003,2021,5280,88.9,"3:10",587.6,12.5432653061224
1051,2006,1266,86.3977941176471,"3:3",82.8,0.409677419354839
1051,2006,1266,86.3977941176471,"3:4",140.7,3.7016393442623
1051,2006,1266,86.3977941176471,"3:5",196.5,6.59130434782609
1051,2006,1266,86.3977941176471,"3:6",208.1,8.86311475409836
1051,2006,1266,86.3977941176471,"3:7",242.2,11.2712418300654
1051,2006,1266,86.3977941176471,"3:8",378.3,12.1875
1051,2006,1266,86.3977941176471,"3:9",425.6,12.8257009345794
1051,2006,1266,86.3977941176471,"3:10",539.7,12.8032653061224
1051,2007,1266,76.4579411764706,"3:3",49.9,6.77096774193548
1051,2007,1266,76.4579411764706,"3:4",53.3,8.62786885245902
1051,2007,1266,76.4579411764706,"3:5",130.3,9.96847826086957
1051,2007,1266,76.4579411764706,"3:6",261.7,11.5860655737705
1051,2007,1266,76.4579411764706,"3:7",443.9,12.5150326797386
1051,2007,1266,76.4579411764706,"3:8",491.6,13.2826086956522
1051,2007,1266,76.4579411764706,"3:9",583.1,13.2808411214953
1051,2007,1266,76.4579411764706,"3:10",611.2,12.7216326530612
1051,2008,1266,97.8180882352941,"3:3",95.1,4.31935483870968
1051,2008,1266,97.8180882352941,"3:4",125.1,5.90655737704918
1051,2008,1266,97.8180882352941,"3:5",147.2,8.45652173913044
1051,2008,1266,97.8180882352941,"3:6",213.5,10.2139344262295
1051,2008,1266,97.8180882352941,"3:7",351.2,11.662091503268
1051,2008,1266,97.8180882352941,"3:8",518.1,12.4858695652174
1051,2008,1266,97.8180882352941,"3:9",582.9,12.5495327102804
1051,2008,1266,97.8180882352941,"3:10",786.7,12.150612244898
1051,2009,1266,93.0782352941176,"3:3",69.7,4.65161290322581
1051,2009,1266,93.0782352941176,"3:4",91.1,7.72622950819672
1051,2009,1266,93.0782352941176,"3:5",139.5,9.27826086956522
1051,2009,1266,93.0782352941176,"3:6",240.7,10.3934426229508
1051,2009,1266,93.0782352941176,"3:7",368.4,11.8313725490196
1051,2009,1266,93.0782352941176,"3:8",449.8,12.8103260869565
1051,2009,1266,93.0782352941176,"3:9",495,13.0168224299065
1051,2009,1266,93.0782352941176,"3:10",565.2,12.3881632653061
1051,2010,1266,88.3383823529412,"3:3",53.5,4.11612903225806
1051,2010,1266,88.3383823529412,"3:4",90.4,6.01311475409836
1051,2010,1266,88.3383823529412,"3:5",144.3,7.12065217391304
1051,2010,1266,88.3383823529412,"3:6",178.8,9.00901639344262
1051,2010,1266,88.3383823529412,"3:7",235.8,11.1738562091503
1051,2010,1266,88.3383823529412,"3:8",361.6,12.0494565217391
1051,2010,1266,88.3383823529412,"3:9",481.7,12.1752336448598
1051,2010,1266,88.3383823529412,"3:10",554.1,11.7902040816327
1051,2011,1266,89.4985294117647,"3:3",19.4,3.70645161290323
1051,2011,1266,89.4985294117647,"3:4",25.7,7.17049180327869
1051,2011,1266,89.4985294117647,"3:5",73.6,9.01956521739131
1051,2011,1266,89.4985294117647,"3:6",147.8,10.6581967213115
1051,2011,1266,89.4985294117647,"3:7",254.1,11.7418300653595
1051,2011,1266,89.4985294117647,"3:8",467.1,12.5190217391304
1051,2011,1266,89.4985294117647,"3:9",601.5,12.7990654205607
1051,2011,1266,89.4985294117647,"3:10",698,12.4448979591837
1051,2012,1266,87.0586764705882,"3:3",14.2,6.19677419354839
1051,2012,1266,87.0586764705882,"3:4",62.8,6.53606557377049
1051,2012,1266,87.0586764705882,"3:5",139.2,8.60217391304348
1051,2012,1266,87.0586764705882,"3:6",228.9,9.82786885245902
1051,2012,1266,87.0586764705882,"3:7",380.9,11.1418300653595
1051,2012,1266,87.0586764705882,"3:8",456.6,12.1652173913043
1051,2012,1266,87.0586764705882,"3:9",561.6,12.3093457943925
1051,2012,1266,87.0586764705882,"3:10",647.8,11.9167346938776
1051,2013,1266,86.4188235294118,"3:3",18.4,-0.270967741935484
1051,2013,1266,86.4188235294118,"3:4",41.9,3.07704918032787
1051,2013,1266,86.4188235294118,"3:5",131.6,6.09565217391304
1051,2013,1266,86.4188235294118,"3:6",233.9,8.20819672131148
1051,2013,1266,86.4188235294118,"3:7",269.3,10.1980392156863
1051,2013,1266,86.4188235294118,"3:8",320.4,11.4201086956522
1051,2013,1266,86.4188235294118,"3:9",419.9,11.6761682242991
1051,2013,1266,86.4188235294118,"3:10",531.1,11.6097959183673
1051,2014,1266,102.178970588235,"3:3",27.1,6.5
1051,2014,1266,102.178970588235,"3:4",72.2,8.15081967213115
