"accumulation_period","term","estimate","std.error","statistic","p.value","district_no"
"3:10","(Intercept)",1848.60071261118,1304.04439929264,1.41759031641402,0.186707920998003,1003
"3:10","IR_t",-0.641269860605916,0.78053686331775,-0.821575367856599,0.430470539249457,1003
"3:10","IT_t",-255.434605314646,186.116540046011,-1.37244441171912,0.19992143732064,1003
"3:10","IR_t_squared",-0.000248267683166223,0.000151328470188951,-1.64058807213363,0.131917726906193,1003
"3:10","IT_t_squared",8.84734397223411,6.76100368365968,1.30858440346909,0.219950359107437,1003
"3:10","IR_t_IT_t",0.0696094411446984,0.0531999514507006,1.3084493358834,0.219994428466855,1003
"3:3","(Intercept)",84.6242546839239,13.2433445981471,6.38994583707832,7.93404991519532e-05,1003
"3:3","IR_t",0.0208046507421289,0.395407650736815,0.0526157010451389,0.959074350013208,1003
"3:3","IT_t",1.88111655218917,3.63973351925814,0.516828098056086,0.616512768657774,1003
"3:3","IR_t_squared",0.000578500852389088,0.00297535468677974,0.194430887503771,0.849731612050486,1003
"3:3","IT_t_squared",-0.032598988670217,0.532893316677478,-0.0611735738655301,0.952426336553956,1003
"3:3","IR_t_IT_t",-0.0253965401513176,0.0409070094829867,-0.620835902509081,0.548595772859691,1003
"3:4","(Intercept)",85.1365381510647,35.7167745193428,2.38365695941995,0.0383720473438491,1003
"3:4","IR_t",0.193608778425452,0.603100912248182,0.321022194617043,0.754802064876765,1003
"3:4","IT_t",-1.10312329444888,12.0129562208608,-0.09182779610345,0.928648363053419,1003
"3:4","IR_t_squared",-0.000887236784459133,0.00192499205000551,-0.460904129165933,0.654728488793336,1003
"3:4","IT_t_squared",0.0212777279732687,1.09417690530306,0.0194463325538527,0.984867587046865,1003
"3:4","IR_t_IT_t",0.00192920527582032,0.0507593574665551,0.0380068892142982,0.970430232326287,1003
"3:5","(Intercept)",-15.7674667233343,288.642731031789,-0.0546262386964382,0.957512188135313,1003
"3:5","IR_t",0.0671038104425321,1.3390785298403,0.0501119306651379,0.961020000668768,1003
"3:5","IT_t",27.3692351259204,47.1529198720168,0.580435637924575,0.574466759249577,1003
